Layer1_Name,Layer1_target_shape,Layer2_Name,Layer2_filters,Layer2_kernel_size,Layer2_activation,Layer3_Name,Layer4_Name,Layer4_units,Layer4_activation,Layer5_Name,Layer5_units,Layer5_activation,LearningRate,Optimizer,Batch,EpisodeLength,NumEpisodes,GameOverReward,UsualReward,TimeOutReward,Gamma,AvgTurnsGG,AvgPoints,Layer3_filters,Layer3_kernel_size,Layer3_activation,Layer6_Name,Layer6_units,Layer6_activation,Layer1_units,Layer1_activation,Layer2_units,Layer3_units
Reshape,"(10, 10, 1)",Conv2D,48.0,3.0,relu,Flatten,Dense,1000.0,relu,Dense,4.0,None,7.0,SGD,100,500,100,-1,1,-0.152,0.75,100.0,1.24756,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,7.0,SGD,100,500,100,-1,1,-0.152,0.8,100.0,1.2242,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,7.0,SGD,100,100,100,-1,1,-0.152,0.8,100.0,1.1615,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.2,0.8,100.0,1.1486,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.2,0.85,100.0,6.3652,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.2,0.9,100.0,5.9774,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.2,0.95,100.0,3.6538,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.152,0.8,100.0,5.5094,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.152,0.85,100.0,5.6489,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.152,0.9,100.0,6.7733,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,6.0,SGD,100,100,100,-1,1,-0.152,0.95,100.0,5.7464,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,7.0,SGD,100,100,100,-1,1,-0.2,0.8,100.0,6.4877,,,,,,,,,,
Reshape,"(10, 10, 1)",Conv2D,48.0,2.0,relu,Flatten,Dense,1200.0,relu,Dense,4.0,None,7.0,SGD,100,100,100,-1,1,-0.2,0.85,100.0,1.0649,,,,,,,,,,
